,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
253,211,ECON 305,(CLOSED)W Agency and Authority,4,MW 1:05-2:30 PM in CL3-09,Daniel Neilson,,15,16,1
261,134,FILM 241/341,Fiction Film 2 - Directing,3/4,WF 2:40-4:05 PM in DAC-120,Dien Vo,WP,12,4,0
274,61,HIST 254,Power and the People: U.S. Political History,3,W 6:05-9:00 PM in CL3-14,Justin Jackson,,15,4,0
277,5,LR 201M 1,(CLOSED)The Art of Tutoring Writing,1 p/f,M 4:15-5:45 PM in CL3-14,Nancy Bonvillain,,15,15,0
291,131,CMPT 370,Topics in Machine Learning,4,TR 1:05-2:30 PM in FSH-112,Myo Thida,,15,5,0
293,120,MATH 109,Elementary Functions,3,MWF 10:05-11:00 AM in CL1-01,Robert Putz,WP,15,7,1
294,68,MATH 110,(CLOSED)Introduction to Statistics,3,MWF 10:05-11:00 AM in CL1-03,Kenneth Knox,WP,15,15,1
296,141,MATH 210 A,(CLOSED)Calculus I,3,MWF 9:00-9:55 AM in FSH-201,Kameryn Williams,WP,15,16,0
297,142,MATH 210 B,(CLOSED)Calculus I,3,MWF 10:05-11:00 AM in FSH-112,Kameryn Williams,WP,15,18,0
298,102,MATH 211,Calculus II,3,MWF 10:05-11:00 AM in CL1-04,Kaethe Minden,WP,15,6,0
299,143,MATH 217M 1,Introduction to Mathematical Proof,2,MWF 1:35-2:30 PM in CL1-01,Kameryn Williams,WP,15,2,0
300,186,MATH 218M 2,Nonbinary Thinking in Mathematics,2,MWF 12:30-1:25 PM in CL1-01,Kameryn Williams,WP,15,4,0
301,101,MATH 220,Linear Algebra,3,MWF 11:10-12:05 PM in CL1-04,Kaethe Minden,WP,15,12,0
302,119,MATH 221,Vector Calculus,3,MWF 9:00-9:55 AM in CL1-01,Robert Putz,WP,15,6,0
303,13,MATH 310,Complex Analysis,4,MWF 2:40-3:35 PM in CL1-01,Jack Burkart,,15,10,0
304,243,MATH 320,Group Theory,4,MWF 1:35-2:30 PM in CL1-04,Kaethe Minden,WP,15,4,0
313,107,MUS 308,Counterpoint: The Essence of Western Musical Tradition,4,MW 2:40-4:05 PM in DAC-128,John Myers,WP,12,2,0
340,195,ARTH 218/318,Photographic Futures: Carceral Systems and Environmental Justice,3/4,MW 10:05-11:30 AM in DAC-025,Em Rooney and Zoey Lubitz,,15,4,0
344,69,PHYS 100 A,Physics I,4,MWF 11:10-12:05 PM in FSH-113,Eric Kramer,WP,18,12,0
