SSBSECT_TERM_CODE	SEMESTER	YEAR	SSBSECT_CRN	SSBSECT_SUBJ_CODE	STVDEPT_DESC	SSBSECT_CRSE_NUMB	SSBSECT_SEQ_NUMB	COURSE	SHORT_TITLE	LONG_TITLE	PRINT_TITLE	TYPE	SCBCRSE_DIVS_CODE	DIVSION_DESC	SCBCRSE_CREDIT_HR_LOW	SCBCRSE_CREDIT_HR_HIGH	DEFAULT_CREDITS	PRINT_CREDITS	SORT_SECTION	XLIST_1	XLIST_DESC_1	XLIST_2	XLIST_DESC_2	XLIST_3	XLIST_DESC_3	XLIST_4	XLIST_DESC_4	SSBSECT_MAX_ENRL	SSBSECT_WAIT_COUNT	SSBSECT_ENRL	SSBSECT_SEATS_AVAIL	SSBSECT_PTRM_CODE	PART_OF_SEMESTER	GRADE_MODE	HAS_FEE	MULTI_LEVEL_WITH	MULTI_LEVEL_PRINT	HAS_FINAL	FY	FOR_WHOM	IS_CP	INSTRUCTOR_LAST	INSTRUCTOR_FIRST	SSRMEET_BEGIN_TIME	SSRMEET_END_TIME	SSRMEET_BLDG_CODE	STVBLDG_DESC	SSRMEET_ROOM_CODE	SSRMEET_MON_DAY	SSRMEET_TUE_DAY	SSRMEET_WED_DAY	SSRMEET_THU_DAY	SSRMEET_FRI_DAY	SSRMEET_SAT_DAY	SSRMEET_SUN_DAY	PRINT_DAYS	PRINT_TIME	DIVISION_CREDIT	SPECIAL_PROGRAM	CRNKEY
202408	FALL	2024	20	SART	Studio Arts	113	0	SART 113	Color Theory in Painting		Color Theory in Painting	College	0001	Arts	0	3	3	3	E									12	0	11	1	1	Full Semester 	Graded	$HIGH			N	Y	first semester		Fossum	Jacob	1440	1605	DAC	Daniel Arts Center	124	M		W					MW	2:40-4:05 PM	Arts	 	20240820
202408	FALL	2024	168	SART	Studio Arts	115M	1	SART 115M 1	Introduction to Ikebana		Introduction to Ikebana	College	0001	Arts	0	2	2	2	E									10	0	8	2	2	MOD1	Graded	$MED			N	Y	first semester		Mikesell	Brian	0900	1025	FAR	Farm Cottage	MAIN		T		R				TR	9:00-10:25 AM	Arts	 	202408168
202408	FALL	2024	23	SART	Studio Arts	118M	2	SART 118M 2	Contemporary Drawing		Contemporary Drawing	College	0001	Arts	0	2	2	2	E									12	0	3	9	3	MOD2	Graded	$HIGH			N	Y	first semester		Fossum	Jacob	1305	1430	DAC	Daniel Arts Center	024		T		R				TR	1:05-2:30 PM	Arts	 	20240823
202408	FALL	2024	22	SART	Studio Arts	118M	1	SART 118M 1	Contemporary Drawing		Contemporary Drawing	College	0001	Arts	0	2	2	2	E									12	0	5	7	2	MOD1	Graded	$HIGH			N	Y	first semester		Fossum	Jacob	1305	1430	DAC	Daniel Arts Center	024		T		R				TR	1:05-2:30 PM	Arts	 	20240822
202408	FALL	2024	155	SART	Studio Arts	119M	2	SART 119M 2	Leathercraft		Leathercraft	College	0001	Arts	0	2	2	2	E	THEA	Theater							8	1	8	0	3	MOD2	Graded	$HIGH			N	Y	first semester		Veale	George	1440	1605	DAC	Daniel Arts Center	018		T		R				TR	2:40-4:05 PM	Arts	 	202408155
202408	FALL	2024	75	SART	Studio Arts	208	0	SART 208	Ceramic Sculpture Studio		Ceramic Sculpture Studio	College	0001	Arts	0	3	3	3	E									12	0	3	9	1	Full Semester 	Graded	$HIGH			N	N	not first semester		Krupka	Ben	1440	1605	DAC	Daniel Arts Center	072		T		R				TR	2:40-4:05 PM	Arts	 	20240875
202408	FALL	2024	154	SART	Studio Arts	219M	1	SART 219M 1	Leathercraft II		Leathercraft II	College	0001	Arts	0	2	2	2	E	THEA	Theater							8	0	4	4	2	MOD1	Graded	$HIGH			N	N	not first semester		Veale	George	1440	1605	DAC	Daniel Arts Center	018		T		R				TR	2:40-4:05 PM	Arts	 	202408154
202408	FALL	2024	21	SART	Studio Arts	239	0	SART 239	Figure Painting		Figure Painting	College	0001	Arts	0	3	3	3	E									12	0	5	7	1	Full Semester 	Graded	$150			N	P	first semester with permission		Fossum	Jacob	0900	1155	DAC	Daniel Arts Center	124		T						T	9:00-11:55 AM	Arts	 	20240821
202408	FALL	2024	144	SART	Studio Arts	263	0	SART 263	Introduction to Sculpture		Introduction to Sculpture	College	0001	Arts	0	3	3	3	E									12	0	3	9	1	Full Semester 	Graded	$HIGH			N	Y	first semester		Domenick	Chris	1005	1130	DAC	Daniel Arts Center	052	M		W					MW	10:05-11:30 AM	Arts	 	202408144
202408	FALL	2024	145	SART	Studio Arts	270	0	SART 270	Introduction to Printmaking		Introduction to Printmaking	College	0001	Arts	0	3	3	3	E									10	0	9	1	1	Full Semester 	Graded	$HIGH			N	Y	first semester		Domenick	Chris	1805	1930	DAC	Daniel Arts Center	029	M		W					MW	6:05-7:30 PM	Arts	 	202408145
202408	FALL	2024	76	SART	Studio Arts	367	0	SART 367	Advanced Ceramic Studio		Advanced Ceramic Studio	College	0001	Arts	0	4	4	4	E									12	0	0	12	1	Full Semester 	Graded	$HIGH		SART 367/467	N	N	not first semester		Krupka	Ben	1440	1605	DAC	Daniel Arts Center	072		T		R				TR	2:40-4:05 PM	Arts	 	20240876
202408	FALL	2024	336	SART	Studio Arts	390IP	BK	SART 390IP BK	Studio Art Indep Project		From Concept to Creation	College	0001	Arts	0	4	4	4	E									5	0	1	4	1	Full Semester 	Graded						 		Krupka	Ben														-	none	 	202408336
202408	FALL	2024	77	SART	Studio Arts	467	0	SART 467	Advanced Ceramic Studio		Advanced Ceramic Studio	College	0001	Arts	0	4	4	4	E									12	0	1	11	1	Full Semester 	Graded	$HIGH	SART 367		N	N	not first semester		Krupka	Ben	1440	1605	DAC	Daniel Arts Center	072		T		R				TR	2:40-4:05 PM	Arts	 	20240877
202408	FALL	2024	117	SOC	Sociology	115	0	SOC 115	CP Race,Ethnicity,Class&Gender	CP Race, Ethnicity, Class, and Gender	CP Race, Ethnicity, Class, and Gender	College	0004	Social Studies	0	3	3	3	E	GS	Gender Studies	QL	Queer Leadership					15	0	16	-1	1	Full Semester 	Graded				N	Y	first semester	CP	Oyogoa	Francisca	1615	1740	CL1	Classroom Bldg 1 (by Library)	03		T		R				TR	4:15-5:40 PM	Social Studies	 	202408117
202408	FALL	2024	7	SOCS	Social Science	013A	0	SOCS 013A	What is Revolution?		What is Revolution?	High School	0004	Social Studies	0.5		0.5	.5	E									15	0	15	0	HS	Full Semester 	Graded					A	bard academy		Jackson	Justin	1305	1430	LIE	Liebowitz Arts Center	01	M	T		R				MTR	1:05-2:30 PM	none	 	2024087
202408	FALL	2024	9	SOCS	Social Science	014A	0	SOCS 014A	Sociology in Everyday Life		Sociology in Everyday Life	High School	0004	Social Studies	0.5		0.5	.5	E									15	0	13	2	HS	Full Semester 	Graded					A	bard academy		Oyogoa	Francisca	1305	1430	CL3	Classroom Bldg 3 (by Lec Ctr)	12			W					W	1:05-2:30 PM	none	 	2024089
202408	FALL	2024	9	SOCS	Social Science	014A	0	SOCS 014A	Sociology in Everyday Life		Sociology in Everyday Life	High School	0004	Social Studies	0.5		0.5	.5	E									15	0	13	2	HS	Full Semester 	Graded					A	bard academy		Oyogoa	Francisca	1440	1605	CL3	Classroom Bldg 3 (by Lec Ctr)	12		T		R				TR	2:40-4:05 PM	none	 	2024089
